trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-187.42883973525585,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-31.379452229083654,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-147.5848389555232,"{0: 20, 1: 3, 2: 2, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-46.664913830274216,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-230.85637267774564,"{0: 12, 1: 1, 2: 8, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-102.05398957859757,"{0: 12, 1: 1, 2: 3, 3: 4, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-137.97635026327464,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,8,-52.40251732820502,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,5,-73.81352446437234,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-155.69741812948456,"{0: 23, 1: 0, 2: 2, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-83.00663124530803,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,11,3.3354200088369783,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-64.55062075551231,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-3.9516506908274334,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,3,-107.88639473427612,"{0: 10, 1: 0, 2: 4, 3: 2, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,1,-73.70372400843861,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,14,-2.3781970415937517,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-40.99671469259967,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,4,-93.53164884491451,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,5,-14.200049759142544,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,12,3.9171872460251036,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
