trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9992639703142518}",25,0,-167.90572641684804,"{0: 15, 1: 3, 2: 1, 3: 4, 4: 2}",0
2,False,"{'a': 0.4, 'e': 0.9985273984897507}",30,0,-163.79632762465792,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.4, 'e': 0.9977902837272594}",25,0,-189.697316501721,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
4,False,"{'a': 0.4, 'e': 0.9970526252257725}",30,0,-200.30448500838966,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 3}",0
5,False,"{'a': 0.4, 'e': 0.9963144221825102}",20,0,-183.95323299691458,"{0: 7, 1: 4, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.4, 'e': 0.9955756737929137}",25,0,-194.20189292338438,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 2}",0
7,False,"{'a': 0.4, 'e': 0.9948363792506396}",30,0,-190.59407893217966,"{0: 16, 1: 5, 2: 4, 3: 3, 4: 2}",0
8,False,"{'a': 0.4, 'e': 0.9940965377475552}",25,0,-214.33832987455332,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
9,False,"{'a': 0.4, 'e': 0.9933561484737327}",20,0,-55.3338791309461,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.4, 'e': 0.9926152106174436}",20,0,-145.43381097092876,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.4, 'e': 0.9918737233651543}",30,5,-117.99513786948104,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",1
12,False,"{'a': 0.4, 'e': 0.9911316859015199}",20,0,-70.60720952414644,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.4, 'e': 0.990389097409379}",30,0,-127.60464499921781,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.4, 'e': 0.9896459570697483}",30,0,-185.15689122439068,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.4, 'e': 0.9889022640618178}",30,0,-172.4632399385488,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",0
16,False,"{'a': 0.4, 'e': 0.9881580175629443}",20,0,2.3270377160533853,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.4, 'e': 0.9874132167486469}",25,0,-130.05315084995848,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.4, 'e': 0.9866678607926007}",25,0,-195.48689864658405,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
19,False,"{'a': 0.4, 'e': 0.9859219488666321}",20,0,-18.447440857317762,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.4, 'e': 0.9851754801407127}",30,0,-160.6779535950364,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
21,False,"{'a': 0.4, 'e': 0.9844284537829537}",30,0,-237.56949954110377,"{0: 18, 1: 2, 2: 4, 3: 2, 4: 4}",0
22,False,"{'a': 0.4, 'e': 0.9836808689596012}",30,0,-150.97356391917995,"{0: 17, 1: 6, 2: 4, 3: 1, 4: 2}",0
23,False,"{'a': 0.4, 'e': 0.9829327248350292}",20,0,-55.06972486433667,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
24,False,"{'a': 0.4, 'e': 0.9821840205717356}",25,3,-68.45439978659148,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 0}",1
25,False,"{'a': 0.4, 'e': 0.9814347553303352}",20,0,-86.14468658655467,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.4, 'e': 0.9806849282695547}",25,0,-238.4930808125801,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
27,False,"{'a': 0.4, 'e': 0.979934538546227}",30,0,-214.62169847406983,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
28,False,"{'a': 0.4, 'e': 0.9791835853152858}",30,0,-136.30946075005625,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
29,False,"{'a': 0.4, 'e': 0.978432067729759}",20,0,-63.19570822314076,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
30,False,"{'a': 0.4, 'e': 0.977679984940764}",20,0,-154.4895966851015,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
31,False,"{'a': 0.4, 'e': 0.9769273360975012}",25,0,-121.50752473843751,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.4, 'e': 0.9761741203472484}",25,4,-148.50092028569094,"{0: 11, 1: 0, 2: 6, 3: 3, 4: 1}",1
33,False,"{'a': 0.4, 'e': 0.9754203368353552}",30,0,-105.51285750211551,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
34,False,"{'a': 0.4, 'e': 0.9746659847052374}",20,0,-47.612255848142716,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
35,False,"{'a': 0.4, 'e': 0.9739110630983702}",20,0,-119.45209980834166,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
36,False,"{'a': 0.4, 'e': 0.9731555711542835}",30,0,-257.0644934253696,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 5}",0
37,False,"{'a': 0.4, 'e': 0.9723995080105554}",30,0,-99.37077229077777,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
38,False,"{'a': 0.4, 'e': 0.9716428728028061}",20,0,-86.95227848120581,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
39,False,"{'a': 0.4, 'e': 0.9708856646646926}",25,0,-142.04098582336056,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
40,False,"{'a': 0.4, 'e': 0.9701278827279023}",20,0,-101.668345681969,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
41,False,"{'a': 0.4, 'e': 0.9693695261221469}",25,16,-11.700473200849876,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.4, 'e': 0.9686105939751569}",25,0,-85.59522508930219,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
43,False,"{'a': 0.4, 'e': 0.9678510854126753}",30,0,-211.81454224264252,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 3}",0
44,False,"{'a': 0.4, 'e': 0.9670909995584513}",25,0,-58.661627533043855,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.4, 'e': 0.9663303355342349}",20,0,-146.7876143662161,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
46,False,"{'a': 0.4, 'e': 0.96556909245977}",30,0,-118.46335353598204,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
47,False,"{'a': 0.4, 'e': 0.9648072694527892}",20,9,-92.48529379020661,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 2}",1
48,False,"{'a': 0.4, 'e': 0.9640448656290066}",20,10,-38.01219491568625,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
49,False,"{'a': 0.4, 'e': 0.9632818801021127}",35,0,-113.55480485218519,"{0: 23, 1: 1, 2: 10, 3: 0, 4: 1}",0
50,False,"{'a': 0.4, 'e': 0.9625183119837674}",25,0,-116.16201570648693,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
51,False,"{'a': 0.4, 'e': 0.9617541603835941}",25,0,-83.84412939623535,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
52,False,"{'a': 0.4, 'e': 0.9609894244091739}",25,11,-55.144636827483794,"{0: 9, 1: 1, 2: 2, 3: 2, 4: 0}",1
53,False,"{'a': 0.4, 'e': 0.9602241031660385}",25,0,-88.25958550576597,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
54,False,"{'a': 0.4, 'e': 0.9594581957576646}",20,0,-161.14187881512677,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
55,False,"{'a': 0.4, 'e': 0.9586917012854671}",20,0,-98.86671861594145,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
56,False,"{'a': 0.4, 'e': 0.9579246188487935}",20,0,-150.12884624405677,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
57,False,"{'a': 0.4, 'e': 0.9571569475449166}",35,0,-136.99365322586237,"{0: 25, 1: 1, 2: 6, 3: 1, 4: 2}",0
58,False,"{'a': 0.4, 'e': 0.956388686469029}",20,0,-76.23448364132965,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
59,False,"{'a': 0.4, 'e': 0.9556198347142358}",20,0,-112.27206905836768,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
60,False,"{'a': 0.4, 'e': 0.9548503913715494}",25,0,-151.27686950452463,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
61,False,"{'a': 0.4, 'e': 0.9540803555298817}",35,22,-27.142394490119965,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
62,False,"{'a': 0.4, 'e': 0.9533097262760386}",20,0,-148.56650726266906,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
63,False,"{'a': 0.4, 'e': 0.952538502694713}",20,0,-47.88291714125172,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
64,False,"{'a': 0.4, 'e': 0.9517666838684784}",25,0,-94.45116572086671,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
65,False,"{'a': 0.4, 'e': 0.9509942688777829}",25,0,-154.67478129491147,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 4}",0
66,False,"{'a': 0.4, 'e': 0.9502212568009415}",30,0,-213.62705783560992,"{0: 14, 1: 4, 2: 7, 3: 3, 4: 2}",0
67,False,"{'a': 0.4, 'e': 0.9494476467141303}",25,0,-165.37822679916044,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
68,False,"{'a': 0.4, 'e': 0.9486734376913799}",25,0,-59.612495590996375,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
69,False,"{'a': 0.4, 'e': 0.9478986288045687}",25,0,-27.655339158194543,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
70,False,"{'a': 0.4, 'e': 0.9471232191234153}",20,0,-123.41095761371903,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
71,False,"{'a': 0.4, 'e': 0.9463472077154735}",25,0,-185.64273093895193,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
72,False,"{'a': 0.4, 'e': 0.9455705936461241}",20,0,-63.873260854686734,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
73,False,"{'a': 0.4, 'e': 0.9447933759785687}",35,0,-81.40797061605984,"{0: 24, 1: 2, 2: 8, 3: 1, 4: 0}",0
74,False,"{'a': 0.4, 'e': 0.9440155537738231}",25,0,-173.01321847671144,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
75,False,"{'a': 0.4, 'e': 0.9432371260907102}",25,0,-167.86544462167893,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 4}",0
76,False,"{'a': 0.4, 'e': 0.9424580919858534}",20,0,-82.78176153463095,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
77,False,"{'a': 0.4, 'e': 0.9416784505136694}",25,0,-168.4326846592549,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
78,False,"{'a': 0.4, 'e': 0.9408982007263618}",20,0,-216.93890512093355,"{0: 8, 1: 3, 2: 3, 3: 3, 4: 3}",0
79,False,"{'a': 0.4, 'e': 0.9401173416739136}",25,0,-175.8545471272771,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
80,False,"{'a': 0.4, 'e': 0.9393358724040808}",30,0,-125.97422033808725,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
81,False,"{'a': 0.4, 'e': 0.9385537919623852}",35,18,-38.05930529648972,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
82,False,"{'a': 0.4, 'e': 0.9377710993921073}",20,0,-67.48888210607566,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
83,False,"{'a': 0.4, 'e': 0.9369877937342794}",30,0,-164.4320898100998,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
84,False,"{'a': 0.4, 'e': 0.9362038740276787}",20,0,-203.13256278070295,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
85,False,"{'a': 0.4, 'e': 0.9354193393088197}",20,0,-127.89972495218062,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
86,False,"{'a': 0.4, 'e': 0.9346341886119478}",25,0,-19.90640047415127,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
87,False,"{'a': 0.4, 'e': 0.933848420969032}",30,0,-88.91467332872189,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
88,False,"{'a': 0.4, 'e': 0.933062035409757}",20,0,-107.83261886013702,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
89,False,"{'a': 0.4, 'e': 0.9322750309615168}",20,0,-127.74920069168353,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
90,False,"{'a': 0.4, 'e': 0.9314874066494074}",30,0,-198.79168150584945,"{0: 19, 1: 0, 2: 6, 3: 2, 4: 3}",0
91,False,"{'a': 0.4, 'e': 0.9306991614962195}",20,0,-61.83659212843577,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
92,False,"{'a': 0.4, 'e': 0.9299102945224306}",20,0,-118.63339221277785,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
93,False,"{'a': 0.4, 'e': 0.9291208047461986}",25,0,-127.00699947279664,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
94,False,"{'a': 0.4, 'e': 0.9283306911833544}",20,0,-159.05043737198457,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
95,False,"{'a': 0.4, 'e': 0.9275399528473939}",25,0,-115.88952236316167,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
96,False,"{'a': 0.4, 'e': 0.9267485887494707}",25,0,-117.1570458453429,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
97,False,"{'a': 0.4, 'e': 0.9259565978983895}",20,16,4.732245490093819,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.4, 'e': 0.9251639793005975}",20,0,-76.59829318854678,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
99,False,"{'a': 0.4, 'e': 0.9243707319601779}",20,0,-121.15002002784234,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
100,False,"{'a': 0.4, 'e': 0.9235768548788419}",30,0,-224.11702279456497,"{0: 16, 1: 2, 2: 7, 3: 2, 4: 3}",0
101,False,"{'a': 0.4, 'e': 0.9227823470559212}",20,0,-125.615195252299,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
102,False,"{'a': 0.4, 'e': 0.9219872074883605}",20,0,-40.277801269647675,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
103,False,"{'a': 0.4, 'e': 0.9211914351707099}",20,0,-90.94992609005185,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
104,False,"{'a': 0.4, 'e': 0.9203950290951172}",25,0,-92.41104319297013,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
105,False,"{'a': 0.4, 'e': 0.9195979882513203}",25,0,-133.804165789918,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
106,False,"{'a': 0.4, 'e': 0.9188003116266399}",25,2,18.61454943652855,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.4, 'e': 0.9180019982059708}",20,0,-140.1820791027292,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
108,False,"{'a': 0.4, 'e': 0.9172030469717751}",20,0,-122.33181198874261,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
109,False,"{'a': 0.4, 'e': 0.9164034569040739}",20,0,-81.46094741088329,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
110,False,"{'a': 0.4, 'e': 0.9156032269804398}",30,0,-63.560606708648905,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
111,False,"{'a': 0.4, 'e': 0.9148023561759888}",20,0,-68.73614301107364,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
112,False,"{'a': 0.4, 'e': 0.9140008434633726}",20,0,-79.50415230615214,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
113,False,"{'a': 0.4, 'e': 0.9131986878127705}",25,0,-203.03965703392424,"{0: 17, 1: 0, 2: 2, 3: 2, 4: 4}",0
