trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.18604488390207,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,6,-49.91022296941854,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-106.11034793189806,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.03205272914008,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-227.07196279144497,"{0: 13, 1: 2, 2: 3, 3: 4, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.98195854148274,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-235.9725503206236,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 5}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-110.11791124412946,"{0: 13, 1: 9, 2: 8, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.6260032346887,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.96879313389941,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,18,-10.097576014140376,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.0077469849499,"{0: 19, 1: 0, 2: 8, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-226.19192574814775,"{0: 21, 1: 3, 2: 6, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,17,-33.72891852452632,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-235.16977617010645,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 5}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-228.9662344738543,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,4,-62.36694816845301,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.2324623179884,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-197.4552093276606,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.0081573765198,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-241.9943236138398,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.65231961776666,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.46197393856198,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-210.35810344241,"{0: 13, 1: 3, 2: 11, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.84635520994759,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-154.711419139338,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-94.95891830691232,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.65716626873702,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-75.20529692195318,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.46921574386013,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
